name,city,cuisine,rating,review_text,review_date,lat,lon,zone,num_reviews,price_range,delivery_time,menu_item_popularity
Royal Biryani,Hyderabad,Italian,4.7,"Highly recommended, worth the price.",2023-04-28,17.399263663076646,78.47236555634316,Zone B,4034,₹700-₹1200,64,79
Sushi Bay,Mumbai,Fast Food,4.0,Fantastic taste and super friendly staff.,2024-07-28,19.05751491561239,72.88053119959996,Zone C,3445,₹200-₹400,41,62
Royal Biryani,Jaipur,Mexican,3.7,"Decent experience, could be better.",2024-02-25,26.916780167831426,75.7816101089954,Zone C,1713,₹200-₹400,58,36
Burger Town,Pune,Mexican,5.0,Delicious and fresh meals every time.,2024-11-15,18.5392798218152,73.8486902769404,Zone A,4381,₹700-₹1200,43,90
Royal Biryani,Bangalore,Japanese,4.0,"Highly recommended, worth the price.",2024-04-25,12.961284018492123,77.59367762673624,Zone B,4263,₹1200+,47,80
Taco Fiesta,Jaipur,Italian,4.5,"Highly recommended, worth the price.",2023-04-11,26.90821525254443,75.80728586871545,Zone B,957,₹700-₹1200,66,67
Cafe Bliss,Pune,Cafe,3.2,"It was okay, nothing special.",2023-06-27,18.51187507647503,73.86469163365858,Zone C,4043,₹700-₹1200,25,4
Cafe Bliss,Kolkata,Japanese,4.5,Delicious and fresh meals every time.,2024-03-12,22.583883872136624,88.34416453943062,Zone C,1302,₹200-₹400,44,29
Grill House,Delhi,Fast Food,5.0,"Highly recommended, worth the price.",2024-12-13,28.631261553831965,77.21053052775959,Zone B,2817,₹200-₹400,43,25
Royal Biryani,Mumbai,Cafe,3.5,"It was okay, nothing special.",2023-09-28,19.064097996296763,72.87178444403858,Zone C,250,₹200-₹400,31,21
Grill House,Kolkata,Japanese,3.6,"Neutral taste, ambience was normal.",2024-11-21,22.580560024499572,88.36067869021909,Zone C,490,₹1200+,21,85
Cafe Bliss,Bangalore,Chinese,3.3,"Decent experience, could be better.",2023-02-06,12.969402091441792,77.58529252538482,Zone C,1762,₹700-₹1200,46,86
Taco Fiesta,Hyderabad,Fast Food,2.4,Not worth the money at all.,2023-09-07,17.366508416846482,78.50218998391394,Zone C,978,₹700-₹1200,35,20
Pizza Hub,Bangalore,Japanese,4.7,Amazing food and great service!,2024-07-07,12.971009834974405,77.57847609633767,Zone C,715,₹700-₹1200,23,40
Royal Biryani,Mumbai,Mexican,5.0,Amazing food and great service!,2024-07-08,19.091973783171667,72.86890090148341,Zone A,4483,₹400-₹700,35,32
Burger Town,Pune,Cafe,5.0,"Highly recommended, worth the price.",2023-09-03,18.502462723881465,73.86738231299232,Zone A,2379,₹400-₹700,30,88
Curry Corner,Chennai,Mediterranean,4.5,Delicious and fresh meals every time.,2023-07-25,13.085596074072855,80.28248445776717,Zone B,511,₹700-₹1200,69,57
Spice Villa,Delhi,Italian,2.7,"Average place, food was fine.",2024-07-26,28.632987471167556,77.19683173764922,Zone C,2099,₹200-₹400,66,28
Pasta Point,Jaipur,Cafe,5.0,Amazing food and great service!,2023-12-09,26.9138091977989,75.79194279164653,Zone A,2825,₹1200+,72,62
Pizza Hub,Mumbai,Mediterranean,3.4,"Neutral taste, ambience was normal.",2024-06-14,19.073597457411402,72.89496250542649,Zone C,4336,₹400-₹700,41,30
Pasta Point,Mumbai,Italian,5.0,"Loved it, definitely coming back!",2024-12-05,19.077405479294228,72.89676735967747,Zone A,633,₹700-₹1200,65,47
Curry Corner,Jaipur,Fast Food,4.3,"Highly recommended, worth the price.",2023-02-11,26.895462773165026,75.76746273414565,Zone B,1130,₹1200+,29,56
Royal Biryani,Kolkata,Cafe,3.3,"Decent experience, could be better.",2024-07-28,22.57039652536049,88.37412664943419,Zone C,431,₹400-₹700,38,76
Royal Biryani,Pune,Cafe,5.0,Amazing food and great service!,2024-07-28,18.503618032507454,73.8548471807227,Zone A,4591,₹200-₹400,65,56
Grill House,Kolkata,Mexican,4.7,Amazing food and great service!,2023-09-03,22.564812396215704,88.34932007205667,Zone B,1908,₹1200+,43,55
Spice Villa,Delhi,Japanese,4.7,"Highly recommended, worth the price.",2023-07-19,28.602982514696038,77.21740391231286,Zone B,768,₹400-₹700,20,38
Curry Corner,Jaipur,Indian,3.2,Just an ordinary meal.,2023-10-04,26.925613160815836,75.7857305288647,Zone C,2037,₹400-₹700,32,61
Burger Town,Delhi,Fast Food,4.5,"Loved it, definitely coming back!",2024-01-01,28.616881012995993,77.2108228793038,Zone C,1010,₹400-₹700,65,98
Burger Town,Jaipur,Mediterranean,5.0,Amazing food and great service!,2023-10-27,26.923372451637498,75.77484984073959,Zone A,2642,₹1200+,63,13
Royal Biryani,Kolkata,Mediterranean,4.6,Amazing food and great service!,2024-07-19,22.58545882561579,88.34736836966663,Zone C,4307,₹400-₹700,31,13
Curry Corner,Chennai,Japanese,5.0,"Loved it, definitely coming back!",2023-01-08,13.093329059542235,80.28194357024528,Zone A,3301,₹700-₹1200,35,23
Cafe Bliss,Pune,Mexican,4.5,Fantastic taste and super friendly staff.,2024-12-30,18.503680014191204,73.86053275118886,Zone B,1269,₹400-₹700,35,27
